Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C7",0402,7,100nF,C307331
C6,0603,1,10uF,C96446
"C8, C9",0402,2,1uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D5, D6, D7, D8, D9",D_SOD-123,43,D_Small,C81598
F1,1206,1,ASMD1206-150,C135341
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_Socket,C160404
"MX1, MX11, MX12, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX38, MX39, MX4, MX41, MX42, MX43, MX5, MX6, MX7, MX8, MX9",SW_MX_HS_1u,38,MX_SW_HS,C5184526
MX10,SW_MX_HS_1.75u,1,MX_SW_HS,C5184526
"MX13, MX37, MX40",SW_MX_HS_1.25u,3,MX_SW_HS,C5184526
MX25,SW_MX_HS_1.5u,1,MX_SW_HS,C5184526
R1,0402,1,10k,C25905
SW1,SW_SPST_SKQG_WithoutStem,1,SKQGABE010,C318884
U1,LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm,1,STM32F072CBU6,C81720
U2,SOT-143,1,PRTR5V0U2X,C2827688
U3,SOT-23,1,XC6206P332MR-Regulator_Linear,C5446